5
x  y  z
129710 131109 14514
126586 126838 13797
124466 123859 12920
121182 120575 11984
117481 116744 11561
114162 114002 10379
112269 111817 9666
109220 108777 8987
106701 106782 8299
104304 104342 7716
102045 101053 7245
98520 98937 6584
96020 96189 6296
94416 93817 5717
90419 91088 5049
88700 88444 4944
85604 85205 4449
83928 83499 4375
81904 81834 3918
79467 79205 3505
77634 77890 3255
74990 74827 3175
73412 73318 2709
71406 71239 2644
69254 69008 2470
67159 67403 2178
64697 65211 2054
62116 62913 1860
61089 61309 1867
59173 59381 1595
57400 57314 1550
56164 56344 1356
54225 54344 1356
52639 53256 1072
50709 51287 1030
49717 49180 837
47489 48267 943
46572 46827 791
45146 45180 782
44289 43777 660
42518 42088 565
40897 41357 540
39979 39288 475
38070 37843 443
36383 37198 436
36429 35681 388
34514 35030 353
33420 33191 331
32290 32575 281
30989 31589 274
30340 30180 259
29451 29367 219
28412 28435 162
27049 27545 173
26948 26374 146
25779 25906 168
25029 24822 148
23868 23750 142
23068 23754 94
22072 22255 103
21285 21522 88
20639 20625 87
20046 20019 82
19449 19233 58
18555 18667 40
17941 18124 50
17233 16935 39
16977 16661 42
15665 15663 36
15275 15113 32
14638 14688 26
14375 14141 20
13609 13685 13
13231 13288 20
12841 12869 23
12432 12167 28
11545 11857 25
11206 11189 7
10669 11001 12
10588 10493 12
10141 10359 7
9503 9757 11
9720 9317 15
8861 8886 2
8498 8726 8
8219 8049 19
7649 7891 6
7589 7390 5
6994 7189 1
6910 7031 1
6650 6720 1
6305 6196 10
5988 6411 0
5902 5982 1
5706 5726 6
5262 5423 0
5222 5241 5
5056 4957 0
4539 4740 0
4311 4556 2
4370 4379 0
4409 4172 0
4137 4011 0
3817 3723 0
3607 3653 0
3445 3618 0
3195 3333 1
3359 3202 0
3112 2978 0
2972 2894 0
2634 2889 0
2775 2656 0
2492 2699 2
2247 2451 0
2373 2301 0
2256 2122 0
2055 1959 2
2047 1987 0
1953 1960 0
1870 1830 0
1681 1640 0
1620 1594 0
1570 1576 1
1467 1557 0
1432 1490 0
1295 1322 0
1266 1221 0
1261 1363 0
1185 1096 0
1156 1107 0
1067 1084 0
983 989 0
918 925 0
