5
x  y  z
124330 124461 123845
119958 122425 120380
117722 118608 118294
115123 115244 114615
111946 113128 112019
108968 109480 110039
107194 107489 106705
103719 104392 104202
102123 101540 101426
99007 98651 99027
96482 97362 95857
93514 93393 94160
92388 91375 91523
89395 89123 88299
86094 86196 86789
83869 83684 84154
82410 81823 81753
79202 79187 79481
77778 76666 77068
74669 75599 75850
73110 73682 72698
70770 71137 71004
69321 68479 69680
66991 66892 67450
64732 64969 65050
63200 63146 62942
61218 61158 61460
59827 59191 59512
57560 57098 58241
55805 55424 56310
54346 54429 54431
53101 52730 52698
51048 50745 51344
49368 48957 49751
48122 47902 48063
46124 46378 47101
44912 44757 45060
43958 43022 43760
42080 42476 41948
40989 41135 41387
39602 39501 38724
38477 38351 38057
36955 37311 36812
35467 35697 35185
34529 34532 34573
33329 33413 33312
32403 32368 32579
31169 31331 31548
30446 29929 30325
29495 29410 28831
28325 28246 28453
27511 27171 27701
26129 26602 26371
25301 25140 25563
24525 24475 24291
23806 23768 23656
22647 22685 23017
21993 21452 21871
21328 21593 21007
20470 20431 20432
19945 19665 19742
19060 19196 18901
18446 18395 18287
17572 17354 17625
16733 17523 17205
16674 16273 16510
16007 16059 15502
15344 15263 14965
14808 14358 14790
14109 14154 13934
13869 13450 13592
13104 13053 12755
12768 12659 12764
11965 12240 11896
11796 11812 11636
11042 11151 11042
10454 10578 10812
10479 10418 10143
9967 10114 9672
9492 9502 9609
9217 9018 9023
8814 8482 8879
8700 8419 8642
8085 8271 8125
7756 7642 7861
7384 7340 7360
7146 6850 7323
6872 6731 6914
6632 6451 6685
6375 6244 6289
6002 6068 6090
5857 5941 5762
5582 5275 5470
5365 5465 5342
5344 4947 5007
4865 4883 4848
4516 4531 4683
4354 4618 4320
4275 4177 4386
3934 3934 4227
3850 4027 3968
3697 3697 3694
3443 3529 3424
3436 3537 3440
3378 3194 3336
2913 3206 2909
2945 2947 3164
2849 2813 2897
2772 2675 2812
2539 2735 2553
2566 2440 2522
2267 2352 2486
2254 2204 2268
2132 2074 2195
2095 1970 2146
1949 1993 2008
1857 1916 1927
1785 1773 1857
1700 1654 1637
1545 1618 1654
1516 1520 1546
1481 1427 1404
1375 1504 1296
1393 1330 1362
1196 1256 1293
1250 1065 1187
1205 1022 1266
1104 1047 1044
1048 1028 956
1006 979 1033
910 845 994
874 918 963
873 840 799
835 744 770
731 674 747
704 748 713
646 737 673
627 728 695
628 632 561
567 600 635
559 591 612
471 502 569
599 495 520
473 514 485
446 463 463
427 398 443
351 392 366
408 343 392
339 382 428
369 406 336
377 349 368
337 274 319
323 348 276
288 262 314
285 255 246
218 242 229
242 225 195
200 210 198
186 182 167
184 240 230
170 212 204
154 171 197
179 163 197
150 166 171
167 142 158
120 121 141
113 166 121
183 100 160
108 96 150
100 112 99
75 97 115
91 73 111
108 118 101
122 88 98
74 81 119
72 85 65
71 58 86
71 80 50
76 67 55
67 70 65
46 69 62
71 54 53
34 29 46
40 57 57
27 48 44
56 29 37
60 54 19
43 42 38
47 45 39
30 17 18
37 29 24
42 23 19
19 27 26
26 23 31
22 46 16
20 11 26
24 19 25
10 16 29
9 18 20
17 21 8
11 15 11
18 12 11
6 6 14
15 9 16
5 16 17
6 7 19
12 15 1
4 11 2
9 16 5
6 7 7
5 9 5
2 10 6
8 11 6
4 9 17
8 3 3
11 5 3
11 3 6
4 0 4
3 7 2
3 3 6
4 2 2
2 5 5
3 4 2
3 0 1
9 4 5
3 10 7
0 2 0
3 5 1
2 0 2
0 2 5
6 0 8
0 3 0
0 0 1
4 0 0
0 0 0
2 0 2
0 0 2
0 0 1
1 0 0
0 0 0
1 0 4
0 0 0
0 3 0
4 0 2
0 0 0
2 0 1
1 3 5
0 0 0
0 0 1
0 0 0
0 0 0
0 0 2
0 1 0
0 0 0
0 0 1
0 0 0
0 0 0
0 3 1
0 0 0
0 0 0
0 3 0
0 0 3
0 1 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 2 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
